TRACTCE,CTIP1
980501,FALSE
17102,FALSE
12302,FALSE
16801,FALSE
11902,FALSE
12202,TRUE
12601,FALSE
13102,FALSE
12602,FALSE
15201,FALSE
12902,FALSE
13101,FALSE
15801,TRUE
25702,FALSE
16802,TRUE
17101,FALSE
17801,FALSE
22704,FALSE
30202,FALSE
25701,FALSE
32801,FALSE
31201,FALSE
31202,FALSE
32602,FALSE
32802,FALSE
32901,FALSE
42601,FALSE
33203,FALSE
33204,FALSE
42602,FALSE
47801,FALSE
61200,TRUE
23102,TRUE
26001,FALSE
980300,FALSE
12502,FALSE
980200,FALSE
23200,TRUE
23300,FALSE
22901,TRUE
13300,FALSE
22803,TRUE
47702,FALSE
35202,FALSE
16400,FALSE
25403,FALSE
22702,FALSE
25200,FALSE
25300,FALSE
25402,FALSE
25600,FALSE
25800,FALSE
61000,FALSE
25900,FALSE
26002,FALSE
26004,FALSE
20500,FALSE
26003,FALSE
26404,TRUE
16500,FALSE
25401,FALSE
60502,TRUE
45100,FALSE
15300,FALSE
18000,FALSE
13500,FALSE
23103,TRUE
22801,TRUE
10300,FALSE
10500,FALSE
10600,FALSE
10800,FALSE
11200,FALSE
11300,FALSE
11700,FALSE
11800,FALSE
12700,FALSE
13200,FALSE
12100,FALSE
15100,FALSE
15900,FALSE
16000,FALSE
16200,FALSE
16300,TRUE
15500,FALSE
15600,FALSE
16700,FALSE
20402,FALSE
980900,TRUE
11901,FALSE
12901,FALSE
15802,FALSE
31301,FALSE
31302,FALSE
32601,FALSE
32902,FALSE
47802,FALSE
12301,TRUE
23400,TRUE
25100,FALSE
47701,FALSE
40200,FALSE
30900,FALSE
31100,FALSE
31000,FALSE
32700,FALSE
33100,FALSE
33201,FALSE
35201,FALSE
35300,FALSE
35400,FALSE
40100,FALSE
17803,FALSE
42700,FALSE
42800,FALSE
47600,FALSE
17700,TRUE
21200,FALSE
21300,FALSE
21400,FALSE
21500,FALSE
60100,FALSE
47902,FALSE
20300,FALSE
20900,TRUE
21000,FALSE
21100,FALSE
21600,FALSE
21700,FALSE
21800,FALSE
12405,FALSE
22600,FALSE
22802,TRUE
22902,TRUE
22903,FALSE
23001,FALSE
23003,FALSE
20602,FALSE
16900,FALSE
17000,FALSE
26100,FALSE
60400,FALSE
26301,FALSE
17603,FALSE
26302,FALSE
20401,FALSE
26303,FALSE
26401,FALSE
26402,FALSE
26403,FALSE
30101,FALSE
30102,FALSE
30201,FALSE
30301,FALSE
20101,TRUE
30302,FALSE
30400,FALSE
30500,FALSE
30600,FALSE
30700,FALSE
30800,FALSE
26201,FALSE
26202,FALSE
12503,FALSE
17804,FALSE
17602,FALSE
61503,FALSE
60703,FALSE
61402,TRUE
61502,FALSE
17903,TRUE
45201,FALSE
35102,FALSE
980600,TRUE
15701,FALSE
15402,FALSE
15702,FALSE
16602,FALSE
16601,FALSE
12504,FALSE
20102,TRUE
20802,TRUE
20801,TRUE
61401,TRUE
20702,FALSE
60702,FALSE
12001,FALSE
20701,FALSE
10101,FALSE
10102,FALSE
60701,FALSE
33001,FALSE
33002,FALSE
31401,FALSE
61501,FALSE
25501,FALSE
10202,FALSE
61504,FALSE
61507,FALSE
25502,FALSE
16101,TRUE
12403,TRUE
47903,FALSE
990200,FALSE
16102,TRUE
12801,FALSE
10402,FALSE
61101,FALSE
47904,FALSE
61102,FALSE
35101,FALSE
61506,FALSE
61505,FALSE
45202,FALSE
12406,FALSE
12404,TRUE
17604,FALSE
15401,FALSE
10901,FALSE
12204,TRUE
15202,FALSE
10902,FALSE
11001,FALSE
11102,FALSE
12002,FALSE
10401,FALSE
10701,FALSE
10702,FALSE
11002,FALSE
12203,TRUE
31402,FALSE
13401,FALSE
13402,FALSE
12802,FALSE
13002,FALSE
20202,FALSE
20601,FALSE
20201,FALSE
61508,FALSE
13001,FALSE
10201,FALSE
11101,FALSE
